Designator,Digi-Key Part Number,Manufacturer,Manufacturer Part Number,Quantity 1,Mfg Std Lead Time,Description
"U1,U3",AP2114H-3.3TRG1DICT-ND,DIODES INCORPORATED (VA),AP2114H-3.3TRG1,2,5 Weeks,IC REG LDO 3.3V 1A SOT223
U2,VEML6040A3OGCT-ND,VISHAY SEMICONDUCTOR OPTO DIVISION (VA),VEML6040A3OG,1,6 Weeks,RGBW COLOR SENSOR I2C INTERFACE
"Q1,Q2",568-5818-1-ND,NXP SEMICONDUCTORS (VA),"2N7002P,215",2,6 Weeks,MOSFET N-CH 60V 0.36A SOT-23
"C1,C2",311-1335-1-ND,YAGEO (VA),CC0603KPX7R7BB104,2,25 Weeks,CAP CER 0.1UF 16V X7R 0603
IC1,ATTINY48-MU-ND,ATMEL,ATTINY48-MU,1,6 Weeks,IC MCU 8BIT 4KB FLASH 32QFN
D1,XREWHT-L1-0000-006E5CT-ND,CREE INC (VA),XREWHT-L1-0000-006E5,1,6 Weeks,LED XLAMP NEUTRAL WHT 4000K 2SMD
Q3,NTR4003NT1GOSCT-ND,ON SEMICONDUCTOR (VA),NTR4003NT1G,1,10 Weeks,MOSFET N-CH 30V 500MA SOT-23
"R3,R4",311-2.2KGRCT-ND,YAGEO (VA),RC0603JR-072K2L,2,22 Weeks,RES SMD 2.2K OHM 5% 1/10W 0603
"R1,R2",311-4.7KGRCT-ND,YAGEO (VA),RC0603JR-074K7L,2,22 Weeks,RES SMD 4.7K OHM 5% 1/10W 0603
"R5,R6",311-10KGRCT-ND,YAGEO (VA),RC0603JR-0710KL,2,22 Weeks,RES SMD 10K OHM 5% 1/10W 0603
"P1,P2,P3,P4",A1927-ND,TE CONNECTIVITY AMP,640457-4,4,10 Weeks,CONN HEADER RTANG 4POS .100 TIN
P6,S9015E-03-ND,SULLINS CONNECTOR SOLUTIONS,GRPB032VWVN-RC,1,4 Weeks,"CONN HEADER .050"" 6POS DL PCB AU"
