(Digi-Key) Part Number,Description,Quantity,Unit Price,Price
AP2114H-3.3TRG1DICT-ND,IC REG LDO 3.3V 1A SOT223,4,0.360,1.440
VEML6040A3OGCT-ND,RGBW COLOR SENSOR I2C INTERFACE,2,2.520,5.040
568-5818-1-ND,MOSFET N-CH 60V 0.36A SOT-23,4,0.140,0.560
311-1335-1-ND,CAP CER 0.1UF 16V X7R 0603,10,0.020,0.180
ATTINY48-MU-ND,IC MCU 8BIT 4KB FLASH 32QFN,2,1.100,2.200
XREWHT-L1-0000-006E5CT-ND,LED XLAMP NEUTRAL WHT 4000K 2SMD,2,5.620,11.240
NTR4003NT1GOSCT-ND,MOSFET N-CH 30V 500MA SOT-23,2,0.270,0.540
311-2.2KGRCT-ND,RES SMD 2.2K OHM 5% 1/10W 0603,10,0.011,0.110
311-4.7KGRCT-ND,RES SMD 4.7K OHM 5% 1/10W 0603,10,0.011,0.110
311-10KGRCT-ND,RES SMD 10K OHM 5% 1/10W 0603,10,0.011,0.110
A1927-ND,CONN HEADER RTANG 4POS .100 TIN,10,0.152,1.520
A122092-ND,CONN HEADR BRKWY 50POS  VERT TIN,1,2.980,2.980
A105203-ND,CONN HEADER BRKWY R/A 50POS TIN,1,3.190,3.190
S9015E-03-ND,"CONN HEADER .050"" 6POS DL PCB AU",2,0.630,1.260
3M15520-ND,"WIREMOUNT SOCKET .050"" 6POS",1,4.100,4.100
DigiKey,USPS Priority Mail (Approx),1,6.400,6.400
OSHPark,Colorimetry Ciruit Boards,1,6.550,6.550
OSH Stencils,Colorimetry Paste Stencils,1,9.110,9.110
OSH Stencils,USPS Standard Shipping,1,0.950,0.950
Total Cost,Approximate due to DigiKey shipping,,TOTAL:,57.59
