Digi-Key Part Number,Description,Quantity,Unit Price,Price,Stock Status,
AP2114H-3.3TRG1DICT-ND,IC REG LDO 3.3V 1A SOT223,2,0.36,0.72,IN STOCK,
VEML6040A3OGCT-ND,RGBW COLOR SENSOR I2C INTERFACE,1,2.52,2.52,IN STOCK,
568-5818-1-ND,MOSFET N-CH 60V 0.36A SOT-23,2,0.14,0.28,IN STOCK,
311-1335-1-ND,CAP CER 0.1UF 16V X7R 0603,2,0.09,0.18,IN STOCK,
ATTINY48-MU-ND,IC MCU 8BIT 4KB FLASH 32QFN,1,1.10,1.10,IN STOCK,
XREWHT-L1-0000-006E5CT-ND,LED XLAMP NEUTRAL WHT 4000K 2SMD,1,5.62,5.62,IN STOCK,
NTR4003NT1GOSCT-ND,MOSFET N-CH 30V 500MA SOT-23,1,0.27,0.27,IN STOCK,
311-2.2KGRCT-ND,RES SMD 2.2K OHM 5% 1/10W 0603,2,0.10,0.20,IN STOCK,
311-4.7KGRCT-ND,RES SMD 4.7K OHM 5% 1/10W 0603,2,0.10,0.20,IN STOCK,
311-10KGRCT-ND,RES SMD 10K OHM 5% 1/10W 0603,2,0.10,0.20,IN STOCK,
A1927-ND,CONN HEADER RTANG 4POS .100 TIN,4,0.19,0.76,IN STOCK,
S9015E-03-ND,"CONN HEADER .050"" 6POS DL PCB AU",1,0.63,0.63,IN STOCK,
OSHPark,Colorimetry Ciruit Boards,0.33,6.55,2.18,,
Cost Per Board,,,TOTAL:,14.86,,
